id_newsdesertsphysical,outlet_name_newsdesertsphysical,state_newsdesertsphysical,city_newsdesertsphysical,county_newsdesertsphysical,owner_id_newsdesertsphysical,owner_newsdesertsphysical,owner_type_newsdesertsphysical,frequency_newsdesertsphysical,total_circulation_newsdesertsphysical,days_published_newsdesertsphysical,ethnic_media_newsdesertsphysical,url_cleaned
NP0003,Anchorage Press,AK,Anchorage,Anchorage Municipality,OW0013,Wick Communications,Private,W,20000.0,1.0,No,anchoragepress.com
NP0022,Bristol Bay Times/Dutch Harbor Fisherman,AK,Anchorage,Anchorage Municipality,OW4913,Ryan Binkley & Jason Evans,Private,W,,1.0,No,adn.com/bristol-bay-times
NP0021,Arctic Sounder,AK,Anchorage,Anchorage Municipality,OW4913,Ryan Binkley & Jason Evans,Private,W,2000.0,1.0,No,thearcticsounder.com
NP9543,Anchorage Daily News,AK,Anchorage,Anchorage Municipality,OW4913,Ryan Binkley & Jason Evans,Private,D,33301.0,7.0,No,adn.com
NP0024,Cordova Times,AK,Cordova,Valdez-Cordova,OW4917,Native Village of Eyak,Private,W,969.0,1.0,No,thecordovatimes.com
NP0009,Delta Wind,AK,Delta Junction,Southeast Fairbanks Census Area,OW0009,TriDelta,Private,W,,1.0,No,deltawindonline.com
NP9544,Alaska Star,AK,Eagle River,Anchorage Municipality,OW0014,Morris Communications,Private,W,4800.0,1.0,No,alaskastar.com
NP0023,Chugiak-Eagle River Star,AK,Eagle River,Anchorage Municipality,OW0014,Morris Communications,Private,W,4800.0,1.0,No,alaskastar.newsbank.com
NP0011,Fairbanks Daily News-Miner,AK,Fairbanks,Fairbanks North Star Borough,OW4916,Helen E Snedded Foundation,,D,13356.0,7.0,No,newsminer.com
NP0006,Chilkat Valley News,AK,Haines,Haines Borough,OW4914,Kyle Clayton,Private,W,1200.0,1.0,No,chilkatvalleynews.com
NP0013,Homer News,AK,Homer,Kenai Peninsula Borough,OW0014,Morris Communications,Private,W,3000.0,1.0,No,homernews.com
NP0014,Homer Tribune,AK,Homer,Kenai Peninsula Borough,OW4913,Ryan Binkley & Jason Evans,Private,W,,1.0,No,homertribune.com
NP0005,Capital City Weekly,AK,Juneau,Juneau City and Borough,OW0014,Morris Communications,Private,W,30000.0,1.0,No,capitalcityweekly.com
NP0016,Juneau Empire,AK,Juneau,Juneau City and Borough,OW0716,Black Press Group,Private,D,4491.0,6.0,No,juneauempire.com
NP0019,Peninsula Clarion,AK,Kenai,Kenai Peninsula Borough,OW0716,Black Press Group,Private,D,5710.0,6.0,No,peninsulaclarion.com
NP0017,Ketchikan Daily News,AK,Ketchikan,Ketchikan Gateway Borough,OW0017,Pioneer Printing,Private,D,4117.0,6.0,No,ketchikandailynews.com
NP0018,Kodiak Daily Mirror,AK,Kodiak,Kodiak Island Borough,OW4916,Helen E Snedded Foundation,,D,2849.0,5.0,No,ptialaska.net/~kdmnews
NP0025,Nome Nugget,AK,Nome,Nome Census Area,OW0019,McGuire Nancy,Private,W,6000.0,1.0,No,nomenugget.net
NP0020,Petersburg Pilot,AK,Petersburg,Petersburg Census area,OW0018,Loesch Ron,Private,W,1834.0,1.0,No,petersburgpilot.com
NP0026,Seward Phoenix Log,AK,Seward,Kenai Peninsula Borough,OW4002,All Alaska News Unlimited,Private,W,750.0,1.0,No,thesewardphoenixlog.com
NP0008,Daily Sitka Sentinel,AK,Sitka,Sitka City and Borough,OW4915,Thad Poulson,Private,D,2501.0,5.0,No,sitkasentinel.com/7
NP0031,Valdez Star,AK,Valdez,Valdez-Cordova,OW4918,Lee Revis,Private,W,2020.0,1.0,No,valdezstar.net
NP0012,Frontiersman,AK,Wasilla,Matanuska-Susitna Borough,OW0013,Wick Communications,Private,W,2932.0,3.0,No,frontiersman.com
NP0030,Wrangell Sentinel,AK,Wrangell,Wrangell City and Borough,OW0018,Loesch Ron,Private,W,1520.0,1.0,No,wrangellsentinel.com
NP0032,Abbeville Herald,AL,Abbeville,Henry,OW0022,Dodd Edward J,Private,W,2350.0,1.0,No,newspapers.com/paper/abbeville-herald/5652
NP0128,Sand Mountain Reporter,AL,Albertville,Marshall,OW5091,Patrick Graham,Private,W,6897.0,3.0,No,sandmountainreporter.com
NP0153,Wetumpka Herald,AL,Alexander City,Elmore,OW0025,Boone Newspapers,Private,W,5800.0,2.0,No,thewetumpkaherald.com
NP0061,Dadeville Record,AL,Alexander City,Tallapoosa,OW0025,Boone Newspapers,Private,W,1600.0,1.0,No,alexcityoutlook.com/news/dadeville
NP0035,Alexander City Outlook,AL,Alexander City,Tallapoosa,OW0025,Boone Newspapers,Private,D,5300.0,5.0,No,alexcityoutlook.com
NP8791,Andalusia Star-News,AL,Andalusia,Covington,OW0025,Boone Newspapers,Private,D,3395.0,6.0,No,andalusiastarnews.com
NP0094,Jacksonville News,AL,Anniston,Calhoun,OW0026,Consolidated Publishing,Private,W,3300.0,1.0,No,jaxnews.com
NP0036,Anniston Star,AL,Anniston,Calhoun,OW0026,Consolidated Publishing,Private,D,15606.0,1.0,No,annistonstar.com
NP0037,Arab Tribune,AL,Arab,Marshall,OW4019,Reed Edwin,Private,W,6500.0,2.0,No,thearabtribune.com
NP0111,News-Courier,AL,Athens,Limestone,OW5092,CNHI,Investment,D,7693.0,6.0,No,enewscourier.com
NP0038,Atmore Advance,AL,Atmore,Escambia,OW0025,Boone Newspapers,Private,W,9100.0,1.0,No,atmoreadvance.com
NP8860,Auburn Villager,AL,Auburn,Lee,OW4016,Don Eddins,Private,W,4000.0,1.0,No,auburnvillager.com
NP0152,Western Star,AL,Bessemer,Jefferson,OW0036,Trib Publications,Private,W,4200.0,1.0,No,westernstar.news
NP0041,Birmingham News,AL,Birmingham,Jefferson,OW0031,Advance Publications,Private,W,30136.0,3.0,No,al.com/birmingham/#/0
NP0042,Birmingham Times,AL,Birmingham,Jefferson,OW4919,Foundation for Progress in Journalism,Private,W,16500.0,1.0,Yes,birminghamtimes.com
NP0044,Brewton Standard,AL,Brewton,Escambia,OW0025,Boone Newspapers,Private,W,3330.0,2.0,No,brewtonstandard.com
NP0154,Wilcox Progressive Era,AL,Camden,Wilcox,OW4022,M H Curl and Associates,Private,W,2500.0,1.0,No,thewilcoxprogressiveera.com/obituaries
NP0120,Pickens County Herald,AL,Carrollton,Pickens,OW0080,Hershal Lake Publishing,Private,W,4027.0,1.0,No,pcherald.com
NP0049,Cherokee County Herald,AL,Centre,Cherokee,OW4920,David Crawford Jr,Private,W,8466.0,1.0,No,cherokeeherald.com
NP0048,Centreville Press,AL,Centreville,Bibb,OW0036,Trib Publications,Private,W,4357.0,1.0,No,bibbvoice.com
NP0047,Call News,AL,Citronelle,Mobile,OW0035,Gray Willie,Private,W,4550.0,1.0,No,thecallnews.com
NP0149,Washington County News,AL,Citronelle,Washington,OW0035,Gray Willie,Private,W,4075.0,1.0,No,washcountynews.com
NP0050,Chilton County News,AL,Clanton,Chilton,OW0038,Tucker Robert,Private,W,3000.0,1.0,No,clantonadvertiser.com
NP0053,Clanton Advertiser,AL,Clanton,Chilton,OW0025,Boone Newspapers,Private,D,5000.0,5.0,No,clantonadvertiser.com
NP0130,Shelby County Reporter,AL,Columbiana,Shelby,OW0025,Boone Newspapers,Private,W,32497.0,1.0,No,shelbycountyreporter.com
NP8862,Pelham Reporter,AL,Columbiana,Shelby,OW0025,Boone Newspapers,Private,W,32497.0,1.0,No,pelhamreporter.com
NP8861,Alabaster Reporter,AL,Columbiana,Shelby,OW0025,Boone Newspapers,Private,W,32497.0,1.0,No,alabasterreporter.com
NP0060,Cullman Tribune,AL,Cullman,Cullman,OW4922,CullmanSense,Private,W,13400.0,1.0,No,cullmantribune.com
NP0065,Daleville Sun-Courier,AL,Daleville,Dale,OW0049,QST Publications,Private,W,6332.0,1.0,No,sun-courier.com
NP0066,Decatur Daily,AL,Decatur,Morgan,OW0050,Shelton Family,Private,D,14735.0,7.0,No,decaturdaily.com
NP0068,Demopolis Times,AL,Demopolis,Marengo,OW0025,Boone Newspapers,Private,W,2850.0,2.0,No,demopolistimes.com
NP0069,Dothan Eagle,AL,Dothan,Houston,OW5093,Lee/BH Media,Investment,D,22714.0,7.0,No,dothaneagle.com
NP0073,Elba Clipper,AL,Elba,Coffee,OW0053,H F Enterprises,Private,W,2650.0,1.0,No,elba-clipper.com
NP0132,Southeast Sun,AL,Enterprise,Coffee,OW0049,QST Publications,Private,W,14662.0,1.0,No,southeastsun.com
NP0074,Enterprise Ledger,AL,Enterprise,Coffee,OW5093,Lee/BH Media,Investment,D,7100.0,5.0,No,www2.eprisenow.com
NP0075,Eufaula Tribune,AL,Eufaula,Barbour,OW5093,Lee/BH Media,Investment,W,4300.0,2.0,No,eufaulatribune.com
NP0083,Greene County Democrat,AL,Eutaw,Greene,OW4923,Greene County Democrat Newspaper,Private,W,4300.0,1.0,Yes,greenecodemocrat.com
NP0077,Fairhope Courier,AL,Fairhope,Baldwin,OW3110,Osteen Publishing,Private,W,1752.0,2.0,No,thefairhopecourier.com
NP0142,Times-Record,AL,Fayette,Fayette,OW0040,Mid-South Management,Private,W,5000.0,1.0,No,pressherald.com/times-record
NP0143,Tri-City Ledger,AL,Flomaton,Escambia,OW4010,Thomas Joe,Private,W,5300.0,1.0,No,tricityledger.com
NP0078,Florala News,AL,Florala,Covington,OW0056,Woodham Publishing,Private,W,1700.0,1.0,No,flr.stparchive.com
NP0140,Times Daily,AL,Florence,Lauderdale,OW0050,Shelton Family,Private,D,20306.0,7.0,No,timesdaily.com
NP0116,Onlooker,AL,Foley,Baldwin,OW3110,Osteen Publishing,Private,W,4600.0,2.0,No,gulfcoastmedia.com/the-onlooker
NP0040,Baldwin Times,AL,Foley,Baldwin,OW3110,Osteen Publishing,Private,W,,1.0,No,baldwintimes.com
NP0093,Islander,AL,Foley,Baldwin,OW3110,Osteen Publishing,Private,W,1737.0,2.0,No,theislandernewspaper.com
NP0100,Lowndes Signal,AL,Fort Deposit,Lowndes,OW0025,Boone Newspapers,Private,W,1900.0,1.0,No,lowndessignal.com
NP0141,Times-Journal,AL,Fort Payne,DeKalb,OW5091,Patrick Graham,Private,D,3334.0,5.0,No,times-journal.com
NP0081,Gadsden Times,AL,Gadsden,Etowah,OW5094,Gannett/Gatehouse,Investment,D,12597.0,7.0,No,gadsdentimes.com
NP0080,Gadsden Messenger,AL,Gadsden,Etowah,OW4011,Chris McCharthy,Private,W,8000.0,1.0,No,gadsdenmessenger.com
NP0113,North Jefferson News,AL,Gardendale,Jefferson,OW5092,CNHI,Investment,W,2310.0,1.0,No,njeffersonnews.com
NP0127,Samson Ledger,AL,Geneva,Geneva,OW4009,Pujol Printing and Publishing,Private,W,0.0,1.0,No,newspapers.com/paper/the-samson-ledger/18453
NP0082,Geneva County Reaper,AL,Geneva,Geneva,OW4009,Pujol Printing and Publishing,Private,W,2500.0,1.0,No,cbs42.com/alabama-news/opp-news-geneva-county-reaper-newspapers-close-after-over-100-years-in-southeast-alabama
NP0051,Choctaw Sun-Advocate,AL,Gilbertown,Choctaw,OW4921,Campbell Newspapers,Private,W,4800.0,1.0,No,choctawsun.org
NP0085,Greensboro Watchman,AL,Greensboro,Hale,OW0062,Greensboro Watchman,Private,W,2795.0,1.0,No,newspapers.com/paper/greensboro-watchman/5658
NP0086,Greenville Advocate,AL,Greenville,Butler,OW0025,Boone Newspapers,Private,W,12700.0,2.0,No,greenvilleadvocate.com
NP0054,Clarke County Democrat,AL,Grove Hill,Clarke,OW0041,Jim Cox,Private,W,3700.0,1.0,No,clarkecountydemocrat.com
NP0033,Advertiser-Gleam,AL,Guntersville,Marshall,OW0023,Advertiser Gleam Corporation,Private,W,8140.0,2.0,No,advertisergleam.com
NP0095,Journal Record,AL,Haleyville,Marion,OW0040,Mid-South Management,Private,W,8579.0,2.0,No,journalrecord.com
NP0115,Northwest Alabamian,AL,Haleyville,Winston,OW0040,Mid-South Management,Private,W,7578.0,2.0,No,mynwapaper.com
NP0089,Hartselle Enquirer,AL,Hartselle,Morgan,OW0025,Boone Newspapers,Private,W,6600.0,1.0,No,hartselleenquirer.com
NP0057,Cleburne News,AL,Heflin,Cleburne,OW0026,Consolidated Publishing,Private,W,3000.0,1.0,No,annistonstar.com/cleburne_news
NP0091,Huntsville Times,AL,Huntsville,Madison,OW0031,Advance Publications,Private,W,14521.0,7.0,No,al.com/huntsville/#/0
NP0133,Speakin' Out Weekly,AL,Huntsville,Madison,OW4017,William D Smothers,Private,W,27000.0,1.0,Yes,speakinoutweeklynews.net
NP0131,South Alabamian,AL,Jackson,Clarke,OW0041,Jim Cox,Private,W,4258.0,1.0,No,southalabamian.com
NP0063,Daily Mountain Eagle,AL,Jasper,Walker,OW0047,Cleveland Newspapers,Private,D,6915.0,7.0,No,mountaineagle.com
NP0096,LaFayette Sun,AL,LaFayette,Chambers,OW4394,Wilcox Mike,Private,W,2638.0,1.0,No,wilcoxnewspapers.com/category/sun
NP0148,Valley Times-News,AL,Lanett,Chambers,OW0025,Boone Newspapers,Private,D,6000.0,5.0,No,valleytimes-news.com
NP0067,Democrat-Reporter,AL,Linden,Marengo,OW4018,Sutton Goodloe,Private,W,9385.0,1.0,No,loc.gov/item/sn85044910
NP0055,Clay Times-Journal,AL,Lineville,Clay,OW0042,Proctor David,Private,W,3899.0,1.0,No,claytimesjournal.com
NP0136,Sumter County Record-Journal,AL,Livingston,Sumter,OW0085,McGraw Tommy,Private,W,5400.0,1.0,No,recordjournal.net
NP0101,Luverne Journal,AL,Luverne,Crenshaw,OW0025,Boone Newspapers,Private,W,2400.0,1.0,No,luvernejournal.com
NP0102,Madison Record,AL,Madison,Madison,OW0025,Boone Newspapers,Private,W,0.0,1.0,No,themadisonrecord.com
NP0103,Marion Times-Standard,AL,Marion,Perry,OW0036,Trib Publications,Private,W,2025.0,1.0,No,mariontimes.com
NP0151,West Alabama Gazette,AL,Millport,Lamar,OW0077,Bobo Peyton,Private,W,3500.0,1.0,No,alabamagazette.com
NP0123,Press-Register,AL,Mobile,Mobile,OW0031,Advance Publications,Private,W,18748.0,7.0,No,pressregister.com
NP0105,Monroe Journal,AL,Monroeville,Monroe,OW0070,Bolton Newspapers,Private,W,19700.0,1.0,No,monroejournal.com
NP0107,Montgomery Independent,AL,Montgomery,Montgomery,OW0072,RAM Publications,Private,W,14872.0,1.0,No,al.com/montgomery
NP0106,Montgomery Advertiser,AL,Montgomery,Montgomery,OW5094,Gannett/Gatehouse,Public,D,25540.0,7.0,No,montgomeryadvertiser.com
NP0109,Moulton Advertiser,AL,Moulton,Lawrence,OW0050,Shelton Family,Private,W,13673.0,1.0,No,moultonadvertiser.com
NP0110,Moundville Times,AL,Moundville,Hale,OW0075,Larry Taylor,Private,W,1300.0,1.0,No,moundvilletimes.net
NP8863,Northport Gazette,AL,Northport,Tuscaloosa,OW0077,Bobo Peyton,Private,W,22000.0,1.0,No,business.tuscaloosachamber.com/list/member/northport-gazette-4702
NP0043,Blount Countian,AL,Oneonta,Blount,OW4006,Rice Rob,Private,W,19900.0,1.0,No,blountcountian.com
NP0117,Opelika-Auburn News,AL,Opelika,Lee,OW5093,Lee/BH Media,Investment,D,12363.0,7.0,No,oanow.com
NP0118,Opp News,AL,Opp,Covington,OW4009,Pujol Printing and Publishing,Private,W,5300.0,1.0,No,loc.gov/item/sn85045107
NP0134,St. Clair News-Aegis,AL,Pell City,St. Clair,OW5092,CNHI,Investment,W,5500.0,1.0,No,newsaegis.com
NP0126,Saint Clair Times,AL,Pell City,St. Clair,OW0026,Consolidated Publishing,Private,W,68000.0,1.0,No,annistonstar.com/the_st_clair_times
NP0052,Citizen of East Alabama,AL,Phenix City,Russell,OW1368,Family Media,Private,W,13500.0,1.0,No,citizenofeastalabama.com
NP0125,Red Bay News,AL,Red Bay,Franklin,OW0083,Harden Rubidale,Private,W,4000.0,1.0,No,redbaynews.net
NP0124,Randolph Leader,AL,Roanoke,Randolph,OW0082,Randolph Publishers,Private,W,7000.0,1.0,No,therandolphleader.com
NP0059,Coosa County News,AL,Rockford,Coosa,OW0045,Lewis Scarbrough,Private,W,1700.0,1.0,No,thecoosacountynews.com
NP0071,East Lauderdale News,AL,Rogersville,Lauderdale,OW0041,Jim Cox,Private,W,4500.0,1.0,No,eastlauderdalenews.com
NP0079,Franklin County Times,AL,Russellville,Franklin,OW0025,Boone Newspapers,Private,W,3800.0,1.0,No,franklincountytimes.com
NP0064,Daily Sentinel,AL,Scottsboro,Jackson,OW5091,Patrick Graham,Private,D,3044.0,5.0,No,thedailysentinel.com
NP0129,Selma Times-Journal,AL,Selma,Dallas,OW0025,Boone Newspapers,Private,D,16500.0,6.0,No,selmatimesjournal.com
NP0098,Lamar Leader,AL,Sulligent,Lamar,OW4924,Lamar Publishing,Private,W,3000.0,1.0,No,lamarleadernews.com
NP0062,Daily Home,AL,Talladega,Talladega,OW0026,Consolidated Publishing,Private,D,9872.0,6.0,No,annistonstar.com/the_daily_home
NP0137,Tallassee Tribune,AL,Tallassee,Tallapoosa,OW0025,Boone Newspapers,Private,W,4200.0,1.0,No,tallasseetribune.com
NP0139,Thomasville Times,AL,Thomasville,Clarke,OW0041,Jim Cox,Private,W,3700.0,1.0,No,thethomasvilletimes.com
NP0144,Troy Messenger,AL,Troy,Pike,OW0025,Boone Newspapers,Private,D,2814.0,5.0,No,troymessenger.com
NP0145,Tuscaloosa News,AL,Tuscaloosa,Tuscaloosa,OW5094,Gannett/Gatehouse,Investment,D,24409.0,7.0,No,tuscaloosanews.com
NP0058,Colbert County Reporter,AL,Tuscumbia,Colbert,OW0044,Crawford Jim,Private,W,4500.0,1.0,No,loc.gov/item/sn85045026
NP0146,Tuskegee News,AL,Tuskegee,Macon,OW0088,Davis Gayle,Private,W,2800.0,1.0,No,tuskegeealabama.gov/residents/pages/local-news
NP0147,Union Springs Herald,AL,Union Springs,Bullock,OW4007,Union Springs Herald,Private,W,2401.0,1.0,No,unionsprings.news
NP0097,Lamar Democrat,AL,Vernon,Lamar,OW4013,Reeves Howard,Private,W,2938.0,1.0,No,lamardemocrat.com
NP0072,Eclectic Observer,AL,Wetumpka,Elmore,OW0025,Boone Newspapers,Private,W,1300.0,1.0,No,thewetumpkaherald.com/eedition/eclectic
NP9421,Standard,AR,Amity,Clark,OW5095,May Publishing,Private,W,0.0,,No,standardmedia.co.ke
NP0216,Little River News,AR,Ashdown,Little River,OW0134,Red River Media,Private,W,3000.0,1.0,No,myhorrynews.com/news/local/little_river
NP0162,Atkins Chronicle,AR,Atkins,Pope,OW0102,Atkins Chronicle,Private,W,2401.0,1.0,No,atkinschronicle.com
NP0165,Batesville Daily Guard,AR,Batesville,Independence,OW0115,Paxton Media Group,Private,D,9067.0,5.0,No,guardonline.com
NP0167,Beebe News,AR,Beebe,White,OW0105,Lee McLane,Private,W,2500.0,1.0,No,beebenews.com
NP0266,Weekly Vista,AR,Bella Vista,Benton,OW0098,Wehco Media,Private,W,5000.0,1.0,No,bvwv.nwaonline.com
NP0249,Saline Courier,AR,Benton,Saline,OW0137,Horizon Publications,Private,D,16400.0,7.0,No,bentoncourier.com
NP0175,Carroll County News,AR,Berryville,Carroll,OW0107,Rust Communications,Private,W,3134.0,2.0,No,carrollconews.com
NP0169,Blytheville Courier-News,AR,Blytheville,Mississippi,OW0107,Rust Communications,Private,W,2290.0,5.0,No,neatowncourier.com
NP0171,Booneville Democrat,AR,Booneville,Logan,OW5094,Gannett/Gatehouse,Investment,W,2912.0,1.0,No,boonevilledemocrat.com
NP0227,Monroe County Herald,AR,Brinkley,Monroe,OW4934,Hayden Taylor,Private,W,2438.0,1.0,No,monroecountyherald.com/news
NP8868,Leader,AR,Cabot,Lonoke,OW4931,Leader Publishing,Private,W,16251.0,1.0,No,arkansasleader.com
NP0271,White River Current,AR,Calico Rock,Izard,OW4027,Francis Charles and Fischer Rich,Private,W,1575.0,1.0,No,whiterivercurrent.com
NP0173,Camden News,AR,Camden,Ouachita,OW0098,Wehco Media,Private,W,4342.0,6.0,No,camdenarknews.com
NP0264,Villager Journal,AR,Cherokee Village,Fulton,OW0107,Rust Communications,Private,W,2375.0,1.0,No,villageronline.com
NP0211,Johnson County Graphic,AR,Clarksville,Johnson,OW0131,Johnson County Graphic,Private,W,7650.0,1.0,No,thegraphic.org
NP0263,Van Buren County Democrat,AR,Clinton,Van Buren,OW0115,Paxton Media Group,Investment,W,3477.0,1.0,No,vanburencountydem.com
NP0218,Log Cabin Democrat,AR,Conway,Faulkner,OW0115,Paxton Media Group,Investment,D,7000.0,7.0,No,thecabin.net
NP0179,Clay County Courier,AR,Corning,Clay,OW4928,Corning Publishing,Private,W,4060.0,1.0,No,claycountycourier.com
NP0161,Ashley News Observer,AR,Crossett,Ashley,OW0101,Lancaster Management,Private,W,4451.0,1.0,No,ashleynewsobserver.com
NP0275,Yell County Record,AR,Danville,Yell,OW0114,Fisher Publishing,Private,W,4500.0,1.0,No,theyellcountyrecord.com
NP0186,Dardanelle Post-Dispatch,AR,Dardanelle,Yell,OW0115,Paxton Media Group,Private,W,2044.0,1.0,No,dardanellepostdispatch.com
NP0189,DeQueen Bee,AR,De Queen,Sevier,OW0101,Lancaster Management,Private,W,3100.0,1.0,No,dequeenbee.com
NP0188,De Witt Era-Enterprise,AR,De Witt,Arkansas,OW4023,Lewis County Press,Private,W,2716.0,1.0,No,dewitt-ee.com
NP0191,Dumas Clarion,AR,Dumas,Desha,OW0121,Emmerich Enterprises,Private,W,3100.0,1.0,No,dumasclarion.com
NP0193,El Dorado News-Times,AR,El Dorado,Union,OW0098,Wehco Media,Private,D,6777.0,7.0,No,eldoradonews.com
NP0194,England Democrat,AR,England,Lonoke,OW0123,Jackson Jerry,Private,W,1800.0,1.0,No,digitalheritage.arkansas.gov/inventories-microfilm-newspapers/187
NP8866,Lovely County Citizen,AR,Eureka Springs,Carroll,OW0107,Rust Communications,Private,W,5717.0,1.0,No,eurekaspringstimesecho.net
NP9545,Lake Area Weekly,AR,Fairfield Bay,Van Buren,OW4035,Fairfield Bay Community Club,Private,W,1200.0,1.0,No,fairfieldbaynews.com
NP0197,Fairfield Bay News,AR,Fairfield Bay,Van Buren,OW4035,Fairfield Bay Community Club,Private,W,1580.0,1.0,No,fairfieldbaynews.com
NP8872,Washington County Enterprise-Leader,AR,Farmington,Washington,OW0098,Wehco Media,Private,W,0.0,1.0,No,wcel.nwaonline.com
NP9546,Northwest Arkansas Democrat-Gazette,AR,Fayetteville,Washington,OW0098,Wehco Media,Private,D,,7.0,No,nwaonline.com
NP0278,Free Weekly,AR,Fayetteville,Washington,OW5094,Gannett/Gatehouse,Investment,W,8197.0,1.0,No,freeweekly.com
NP0231,Mountaineer Echo,AR,Flippin,Marion,OW4030,Jade Media,Private,W,2360.0,1.0,No,flippinonline.com
NP0198,Fordyce News-Advocate,AR,Fordyce,Dallas,OW0126,Whitehead William,Private,W,3091.0,1.0,No,digitalheritage.arkansas.gov/sara-inventories-microfilm-newspapers/16
NP0260,Times-Herald,AR,Forrest City,St. Francis,OW4929,Argent Arkansas News Media,Private,D,4500.0,5.0,No,timesherald.com
NP0253,Southwest Times Record,AR,Fort Smith,Sebastian,OW5094,Gannett/Gatehouse,Investment,D,22351.0,7.0,No,swtimes.com
NP0236,News,AR,Fulton,Hempstead,OW0107,Rust Communications,Private,W,4895.0,1.0,No,nytimes.com
NP0200,Glenwood Herald,AR,Glenwood,Pike,OW0127,Graves Publishing,Private,W,2439.0,1.0,No,swarkansasnews.com/the-glenwood-herald
NP0176,Charleston Express,AR,Greenwood,Franklin,OW5094,Gannett/Gatehouse,Investment,W,2050.0,1.0,No,swtimes.com/charlestonexpress
NP8821,Greenwood Democrat,AR,Greenwood,Sebastian,OW5094,Gannett/Gatehouse,Investment,W,2280.0,1.0,No,greenwooddemocrat.com
NP0160,Ashley County Ledger,AR,Hamburg,Ashley,OW0100,Moyers David,Private,W,3072.0,1.0,No,ashleycountyledger.com
NP9417,South Arkansas Sun,AR,Hampton,Calhoun,OW5096,Larry Killian,Private,W,,,No,southarkansassun.net
NP0204,Harrison Daily Times,AR,Harrison,Boone,OW0106,Community Publishers,Private,D,5813.0,5.0,No,harrisondailytimes.com
NP0201,Grand Prairie Herald,AR,Hazen,Prairie,OW4930,Herald Publishing,Private,W,1700.0,1.0,No,herald-publishing.com
NP0257,Sun-Times,AR,Heber Springs,Cleburne,OW0115,Paxton Media Group,Investment,W,5827.0,2.0,No,chicago.suntimes.com
NP0205,Helena Arkansas Daily World,AR,Helena,Phillips,OW5094,Gannett/Gatehouse,Investment,W,2157.0,2.0,No,helenaworld.org
NP0240,Pacesetting Times,AR,Horseshoe Bend,Izard,OW4026,Sherrell Karen,Private,W,2400.0,1.0,No,digitalheritage.arkansas.gov/neara-inventories-microfilm-newspapers/254
NP0250,Sentinel-Record,AR,Hot Springs,Garland,OW0098,Wehco Media,Private,D,13227.0,7.0,No,hotsr.com
NP0209,Hot Springs Village Voice,AR,Hot Springs Village,Saline,OW5094,Gannett/Gatehouse,Investment,W,7732.0,1.0,No,hsvvoice.com
NP0220,Madison County Record,AR,Huntsville,Madison,OW0136,Kreth Ellen,Private,D,7600.0,5.0,No,mcrecordonline.com
NP0237,Newton County Times,AR,Jasper,Newton,OW0106,Community Publishers,Private,W,1972.0,1.0,No,newtoncountytimes.com
NP0212,Jonesboro Sun,AR,Jonesboro,Craighead,OW0115,Paxton Media Group,Private,D,19830.0,7.0,No,jonesborosun.com
NP0195,Eudora Enterprise,AR,Lake Village,Chicot,OW0101,Lancaster Management,Private,W,1250.0,1.0,No,chicotnewspapers.com/eedition/eudora_enterprise
NP0177,Chicot Spectator,AR,Lake Village,Chicot,OW0101,Lancaster Management,Private,W,1250.0,1.0,No,chicotnewspapers.com/eedition/chicot_spectator
NP0159,Arkansas Times,AR,Little Rock,Pulaski,OW4927,Arkansas Times Limited Partnership,Private,W,21802.0,1.0,No,arktimes.com
NP0158,Arkansas Democrat-Gazette,AR,Little Rock,Pulaski,OW0098,Wehco Media,Private,D,130625.0,7.0,No,arkansasonline.com
NP0164,Banner-News,AR,Magnolia,Columbia,OW0098,Wehco Media,Private,W,3500.0,6.0,No,magnoliabannernews.com
NP0221,Malvern Daily Record,AR,Malvern,Hot Spring,OW0137,Horizon Publications,Private,D,6540.0,5.0,No,malvern-online.com
NP0184,Courier Index,AR,Marianna,Lee,OW4929,Argent Arkansas News Media,Private,W,2513.0,1.0,No,cinews.com
NP0267,West Memphis Evening Times,AR,Marion,Crittenden,OW0156,Crittenden Publishing,Private,W,8000.0,5.0,No,theeveningtimes.com
NP0222,Marshall Mountain Wave,AR,Marshall,Searcy,OW4030,Jade Media,Private,W,3200.0,1.0,No,emountainwave.com
NP0273,Woodruff County Monitor-Leader-Advocate,AR,McCrory,Woodruff,OW0160,Gladys Price Press,Private,W,2556.0,1.0,No,digitalheritage.arkansas.gov/inventories-microfilm-newspapers/577
NP0224,McGehee Dermott Times/News,AR,McGehee,Desha,OW4933,McGehee Publishing,Private,W,3400.0,1.0,No,digitalheritage.arkansas.gov/inventories-microfilm-newspapers/581
NP9420,Melbourne Times,AR,Melbourne,Izard,OW5097,Debbie Dutton,Private,W,,,No,loc.gov/item/sn94004138
NP0225,Mena Star,AR,Mena,Polk,OW0101,Lancaster Management,Private,W,30700.0,1.0,No,menastar.com
NP0155,Advance-Monticellonian,AR,Monticello,Drew,OW0095,Smith Newspapers,Private,W,3200.0,1.0,No,advancemonticellonian.com
NP0182,Conway County Petit Jean Country Headlight,AR,Morrilton,Conway,OW0114,Fisher Publishing,Private,W,6200.0,1.0,No,headlightnews.com
NP0243,Perry County Petit Jean Country Headlight,AR,Morrilton,Perry,OW4032,Headlight Newspapers,Private,W,1900.0,1.0,No,headlightnews.com
