id_newsdesertsphysical,outlet_name_newsdesertsphysical,state_newsdesertsphysical,city_newsdesertsphysical,county_newsdesertsphysical,owner_id_newsdesertsphysical,owner_newsdesertsphysical,owner_type_newsdesertsphysical,frequency_newsdesertsphysical,total_circulation_newsdesertsphysical,days_published_newsdesertsphysical,ethnic_media_newsdesertsphysical,url_cleaned
NP2236,McDonough County Voice,IL,Macomb,McDonough,OW5094,Gannett/Gatehouse,Investment,D,3800.0,5.0,No,mcdonoughvoice.com
NP2224,Mahomet Citizen,IL,Mahomet,Champaign,OW0231,Community Media Group,Private,W,1497.0,1.0,No,mahometdaily.com/tag/mahomet-citizen
NP2226,Manito Review,IL,Manito,Mason,OW5013,Rickard Lois,Private,W,2178.0,1.0,No,illinoispress.org/home/tabid/105
NP2228,Marion Daily Republican,IL,Marion,Williamson,OW0984,Paddock Publications,Private,D,3600.0,5.0,No,dailyrepublicannews.com
NP2229,Marshall Advocate,IL,Marshall,Clark,OW5121,Strohm Newspapers,,W,,2.0,No,strohmnews.com/marshall-advocate
NP2027,Clinton County News,IL,Mascoutah,De Witt,OW0977,Herald Publications,Private,W,1131.0,1.0,No,clintonnews.net
NP2231,Mascoutah Herald,IL,Mascoutah,St. Clair,OW0977,Herald Publications,Private,W,2400.0,1.0,No,heraldpubs.com
NP2232,Mason City Banner Times,IL,Mason City,Mason,OW5013,Rickard Lois,Private,W,2100.0,1.0,No,loc.gov/item/sn87082815
NP2234,Mattoon Journal-Gazette,IL,Mattoon,Coles,OW5093,Lee/BH Media,Public,D,10761.0,6.0,No,jg-tc.com
NP2242,Mendota Reporter,IL,Mendota,La Salle,OW0186,News Media Corporation,Private,W,12000.0,1.0,No,mendotareporter.com
NP2245,Metropolis Planet,IL,Metropolis,Massac,OW0115,Paxton Media Group,Private,W,15950.0,1.0,No,metropolisplanet.newsbank.com
NP1990,Burbank-Stickney Independent,IL,Midlothian,Cook,OW0930,Southwest Messenger Press,Private,W,6110.0,1.0,No,southwestmessengerpress.com/category/news/news-burbank-stickney-independent
NP2489,Orland Township Messenger,IL,Midlothian,Cook,OW0930,Southwest Messenger Press,Private,W,3788.0,1.0,No,southwestmessengerpress.com/category/news/news-orland-township-messenger
