id_newsdesertsdigital,outlet_name_newsdesertsdigital,state_newsdesertsdigital,city_newsdesertsdigital,county_newsdesertsdigital,medium_type_newsdesertsdigital,audience_newsdesertsdigital,ethnic_media_newsdesertsdigital,url_cleaned
DG0425,Daily Memphian,TN,Memphis,shelby county,Online News Organization,Local,No,dailymemphian.com
DG0426,Sumner Home Page,TN,Sumner,Sumner County,Online News Organization,Local,No,sumnerhomepage.com
DG0427,Brentwood Home Page,TN,Brentwood,Williamson County,Online News Organization,Local,No,brentwoodhomepage.com
DG0428,Franklin Home Page,TN,Franklin,Williamson County,Online News Organization,Local,No,franklinhomepage.com
DG0429,Nolensville Home Page,TN,Nolensville,Williamson County,Online News Organization,Local,No,nolensvillehomepage.com
DG0430,Williamson Source,TN,Williamson,Williamson County,Online News Organization,Local,No,williamsonsource.com
DG0431,NowCastSA,TX,San Antonio,Bexar County,Online News Organization,Local,No,nowcastsa.org
DG0432,Rivard Report,TX,San Antonio,Bexar County,Online News Organization,Local,No,therivardreport.com
DG0433,TXK Today,TX,Texarkana,Bowie County,Online News Organization,Local,No,txktoday.com
DG0434,ArkLaTex News,TX,Texarkana,Bowie County,Online News Organization,Local,No,arklatexnews.com
DG0435,Rio Grande Guadian,TX,Brownsville,Cameron County,Online News Organization,Local,No,riograndeguardian.com
DG0436,Green Source DFW,TX,Dallas,Dallas County,Online News Organization,Local,No,greensourcedfw.org
DG0437,Advocate Media - Dallas,TX,Dallas,Dallas County,Online News Organization,Local,No,advocatemag.com
DG0438,El Paso Herald Post,TX,El Paso,El Paso County,Online News Organization,Local,No,epheraldpost.com
DG0439,Covering Katy,TX,Katy,Fort Bend County,Online News Organization,Local,No,coveringkaty.com
DG0440,Space City Weather,TX,Houston,Harris County,Online News Organization,Local,No,spacecityweather.com
DG0441,Tyler Loop,TX,Tyler,Smith County,Online News Organization,Local,No,thetylerloop.com
DG0442,Breckenridge Texan,TX,Breckenridge,Stephens County,Online News Organization,Local,No,breckenridgetexan.com
DG0443,Local News Only,TX,Colleyville,Tarrant County,Online News Organization,Local,No,localnewsonly.com
DG0444,Arlington Voice,TX,Arlington,Tarrant County,Online News Organization,Local,No,arlingtonvoice.com
DG0445,San Angelo Live,TX,San Angelo,Tom Green County,Online News Organization,Local,No,sanangelolive.com
DG0446,Austin Monitor,TX,Austin,Travis County,Online News Organization,Local,No,austinmonitor.com
DG0447,Austin Bulldog,TX,Austin,Travis County,Online News Organization,Local,No,theaustinbulldog.org
DG0448,Silicon Hills News,TX,Austin,Travis County,Online News Organization,Local,No,siliconhillsnews.com
DG0449,Texas Tribune,TX,Austin,Travis County,Online News Organization,State,No,texastribune.com
DG0450,Lehi Free Press,UT,Lehi,Utah County,Online News Organization,Local,No,lehifreepress.com
DG0451,Covering the Corridor,VA,Alexandria,Alexandria City,Online News Organization,Local,No,coveringthecorridor.com
DG0452,ARL Now,VA,Arlington,Arlington County,Online News Organization,Local,No,arlnow.com
DG0453,DC Commute Times,VA,Arlington,Arlington County,Online News Organization,Local,No,dccommutetimes.com
DG0454,Charlottesville Tomorrow,VA,Charlottesville,Charlottesville City,Online News Organization,Local,No,cvilletomorrow.org
DG0455,Reston Now,VA,Reston,Fairfax County,Online News Organization,Local,No,restonnow.com
DG0456,Fauquier Now,VA,Warrenton,Fauquier County,Online News Organization,Local,No,fauquiernow.com
DG0457,Fredericksburg Today,VA,Fredericksburg,Fredericksburg City,Online News Organization,Local,No,fredericksburg.today
DG0458,Bristow Beat,VA,Bristow,Prince William County,Online News Organization,Local,No,bristowbeat.com
DG0459,What's Up Prince William,VA,Woodbridge,Prince William County,Online News Organization,Local,No,whatsupwoodbridge.com
DG0460,Foothills Forum,VA,Washington,Rappahannock County,Online News Organization,Local,No,foothills-forum.org
DG0461,Richmond Biz Sense,VA,Richmond,Richmond City,Online News Organization,Local,No,richmondbizsense.com
DG0462,Church Hill People,VA,Richmond,Richmond City,Online News Organization,Local,No,chpn.net
DG0463,Potomac Local,VA,Stafford,Stafford County,Online News Organization,Local,No,potomaclocal.com
DG0464,Royal Examiner,VA,Front Royal,Warren County,Online News Organization,Local,No,royalexaminer.com
DG0465,Newport Dispatch,VT,Derby Line,Orleans County,Online News Organization,Local,No,newportdispatch.com
DG0466,VT Digger,VT,Montpelier,Washington County,Online News Organization,State,No,vtdigger.com
DG0467,Chester Telegraph,VT,Chester,Windsor County,Online News Organization,Local,No,chestertelegraph.org
DG0468,Capitol Hill Seattle,WA,Seattle,King County,Online News Organization,Local,No,capitolhillseattle.com
DG0469,Evergrey,WA,Seattle,King County,Online News Organization,Local,No,theevergrey.com
DG0470,B-Town Blog,WA,Burien,King County,Online News Organization,Local,No,b-townblog.com
DG0471,iLoveKent,WA,Kent,King County,Online News Organization,Local,No,ilovekent.net
DG0472,West Seattle Blog,WA,Seattle,King County,Online News Organization,Local,No,westseattleblog.com
DG0473,PhinneyWood.com,WA,Seattle,King County,Online News Organization,Local,No,phinneywood.com
DG0474,South King Media,WA,Burien,King County,Online News Organization,Local,No,southkingmedia.com
DG0475,Sammamish Comment,WA,Sammamish,King County,Online News Organization,Local,No,sammamish.news
DG0476,Seattle City Council Insight,WA,Seattle,King County,Online News Organization,Local,No,sccinsight.com
DG0477,Investigate West,WA,Seattle,King County,Online News Organization,Regional,No,invw.org
DG0478,Crosscut,WA,Seattle,King County,Online News Organization,State,No,crosscut.com
DG0479,Channel 253,WA,Tacoma,Pierce County,Online News Organization,Local,No,channel253.com
DG0480,Lynwood Today,WA,Lynnwood,Snohomish County,Online News Organization,Local,No,lynnwoodtoday.com
DG0481,MLT News,WA,Mountlake Terrace,Snohomish County,Online News Organization,Local,No,mltnews.com
DG0482,My Edmonds News,WA,Edmonds,Snohomish County,Online News Organization,Local,No,myedmondsnews.com
DG0483,Spokane Faith and Values,WA,Spokane,Spokane County,Online News Organization,Local,No,spokanefavs.com
DG0484,Olympia Standard,WA,Olympia,Thurston County,Online News Organization,Local,No,theolympiastandard.com
DG0485,Madison 365,WI,Madison,Dane County,Online News Organization,Local,No,madison365.com
DG0486,Forward Lookout,WI,Madison,Dane County,Online News Organization,Local,No,forwardlookout.com
DG0487,Wisconsin Watch,WI,Madison,Dane County,Online News Organization,State,No,wisconsinwatch.org
DG0488,Wis.Community,WI,Menonomie,Dunn County,Online News Organization,State,No,wis.community
DG0489,West of the I,WI,Salem,Kenosha County,Online News Organization,Local,No,westofthei.com
DG0490,Wausa Pilot and Review,WI,Wausa,Marathon County,Online News Organization,Local,No,wausaupilotandreview.com
DG0491,Everything Greendale,WI,Greendale,Milwaukee County,Online News Organization,Local,No,patch.com/wisconsin/greendale
DG0492,Urban Milwaukee,WI,Milwaukee,Milwaukee County,Online News Organization,Local,No,urbanmilwaukee.com
DG0493,Milwaukee Record,WI,Milwaukee,Milwaukee County,Online News Organization,Local,No,milwaukeerecord.com
DG0494,Milwaukee Neighborhood News Service,WI,Milwaukee,Milwaukee County,Online News Organization,Local,No,milwaukeenns.org
DG0495,Racine County Eye,WI,Racine,Racine County,Online News Organization,Local,No,racinecountyeye.com
DG0496,Badger Project,WI,,,Online News Organization,State,No,thebadgerproject.org
DG0497,County10,WY,Riverton,Fremont County,Online News Organization,Local,No,county10.com
DG0498,Wyofile,WY,Cheyenne,Laramie County,Online News Organization,State,No,wyofile.com
DG0499,Oil City News,WY,Casper,Natrona County,Online News Organization,Local,No,oilcity.news
DG0500,Sweetwater Now,WY,Rock Springs,Sweetwater County,Online News Organization,Local,No,sweetwaternow.com
