id_newsdesertsdigital,outlet_name_newsdesertsdigital,state_newsdesertsdigital,city_newsdesertsdigital,county_newsdesertsdigital,medium_type_newsdesertsdigital,audience_newsdesertsdigital,ethnic_media_newsdesertsdigital,url_cleaned
DG0225,Carolina Public Press,NC,Asheville,Buncombe County,Online News Organization,Local,No,carolinapublicpress.org
DG0226,Blowing Rock News,NC,Blowing Rock,Caldwell County,Online News Organization,Local,No,blowingrocknews.com
DG0227,Coastal Review Online,NC,Newport,Carteret County,Online News Organization,Local,No,coastalreview.org
DG0228,Cary Citizen,NC,Cary,Chatham County,Online News Organization,Local,No,carycitizen.com
DG0229,New Bern Post,NC,New Bern,Craven County,Online News Organization,Local,No,newbernpost.com
DG0230,New Bern Now,NC,New Bern,Craven County,Online News Organization,Local,No,newbernnow.com
DG0231,Durham Sky Writer,NC,Durham,Durham County,Online News Organization,Local,No,durhamskywriter.com
DG0232,North Carolina Health News,NC,Chapel Hill,Durham County,Online News Organization,State,No,northcarolinahealthnews.org
DG0233,Q City Metro,NC,Charlotte,Mecklenburg County,Online News Organization,Local,No,qcitymetro.com
DG0234,Charlotte Agenda,NC,Charlotte,Mecklenburg County,Online News Organization,Local,No,charlotteagenda.com
DG0235,Charlotte Ledger,NC,Charlotte,Mecklenburg County,Online News Organization,Local,No,charlotteledger.substack.com
DG0236,La Noticia,NC,Charlotte,Mecklenburg County,Online News Organization,Local,Yes,lanoticia.com
DG0237,Port City Daily,NC,Wilmington,New Hanover County,Online News Organization,Local,No,portcitydaily.com
DG0238,Raleigh Convergence,NC,Raleigh,Wake County,Online News Organization,Local,No,raleighconvergence.com
DG0239,WataugaOnline.com,NC,Boone,Watauga County,Online News Organization,Local,No,wataugaonline.com
DG0240,Building the Bakken,ND,Fargo,Cass County,Online News Organization,Local,No,thecrudelife.com
DG0241,Manchester Ink Link,NH,Manchester,Hillsborough County,Online News Organization,Local,No,manchesterinklink.com
DG0242,In Depth New Hampshire,NH,Barrington,Strafford County,Online News Organization,State,No,indepthnh.org
DG0243,New Hampshire Center for Public Interest Journalism,NH,,,Online News Organization,State,No,indepthnh.org
DG0244,Route 40 News,NJ,Margate City,Atlantic County,Online News Organization,Local,No,rtforty.com
DG0245,Breaking AC,NJ,Atlantic City,Atlantic County,Online News Organization,Local,No,breakingac.com
DG0246,AC Primetime,NJ,Atlantic City,Atlantic County,Online News Organization,Local,No,acprimetime.com
DG0247,Brigantine Now,NJ,Brigantine,Atlantic County,Online News Organization,Local,No,brigantinenow.com
DG0248,Down Beach Buzz,NJ,Margate City,Atlantic County,Online News Organization,Local,No,downbeachbuzz.com
DG0249,Cliffview Pilot,NJ,Westwood,Bergen County,Online News Organization,Local,No,cliffviewpilot.com
DG0250,Glen Rock News Today,NJ,Glen Rock,Burgen County,Online News Organization,Local,No,glenrocknews.today
DG0251,70and73,NJ,Marlton,Burlington County,Online News Organization,Local,No,70and73.com
DG0252,Gloucester City News,NJ,Gloucester City,Camden County,Online News Organization,Local,No,gloucestercitynews.net
DG0253,NJ Pen,NJ,Camden,Camden County,Online News Organization,State,No,njpen.com
DG0254,OC NJ Daily,NJ,Ocean City,Cape May County,Online News Organization,Local,No,ocnjdaily.com
DG0255,SNJToday.com,NJ,south jersey,County,Online News Organization,Local,No,snjtoday.com
DG0256,Brick City Live,NJ,Newark,Essex County,Online News Organization,Local,No,brickcitylive.com
DG0257,TAP into Livingston,NJ,Livingston,Essex County,Online News Organization,Local,No,thealternativepress.com/towns/livingston
DG0258,TAP into West Orange,NJ,West Orange,Essex County,Online News Organization,Local,No,thealternativepress.com/towns/west-orange
DG0259,TAP into Millburn,NJ,Millburn,Essex County,Online News Organization,Local,No,tapintomillburn.net
DG0260,Jersey Tomato Press,NJ,Caldwell,Essex County,Online News Organization,Local,No,thejerseytomatopress.com
DG0261,Baristanet,NJ,Montclair,Essex County,Online News Organization,Local,No,baristanet.com
DG0262,Village Green,NJ,Maplewood,Essex County,Online News Organization,Local,No,villagegreennj.com
DG0263,TAP into East Orange,NJ,East Orange,Essex County,Online News Organization,Local,No,thealternativepress.com/towns/east-orange
DG0264,TAP into Montclair,NJ,Montclair,Essex County,Online News Organization,Local,No,thealternativepress.com/towns/montclair
DG0265,Newark Pulse,NJ,Newark,Essex County,Online News Organization,Local,No,newarkpulse.com
DG0266,My Verona NJ,NJ,Verona,Essex County,Online News Organization,Local,No,myveronanj.com
DG0267,TAP into SOMA,NJ,South Orange,Essex County,Online News Organization,Local,No,tapintosoma.net
DG0268,TAP into West Essex,NJ,West Essex,Essex County,Online News Organization,Local,No,thealternativepress.com/towns/west-essex
DG0269,NJ Spotlight,NJ,Montclair,Essex County,Online News Organization,State,No,njspotlight.com
DG0270,Hudson Mile Square View,NJ,Hoboken,Hudson County,Online News Organization,Local,No,hobokenhorse.com
DG0271,Hudson County View,NJ,,Hudson County,Online News Organization,Local,No,hudsoncountyview.com
DG0272,NJ Environment News,NJ,Frenchtown,Hunterdon County,Online News Organization,State,No,njenvironmentnews.com
DG0273,Planet Princeton,NJ,Princeton,Mercer County,Online News Organization,Local,No,planetprinceton.com
DG0274,MercerMe,NJ,Hopewell Valley,Mercer County,Online News Organization,Local,No,mercerme.com
DG0275,New Brunswick Today,NJ,New Brunswick,Middlesex County,Online News Organization,Local,No,newbrunswicktoday.com
DG0276,TAP into South Plainfield,NJ,South Plainfield,Middlesex County,Online News Organization,Local,No,thealternativepress.com/towns/south-plainfield
DG0277,Dunellen 411,NJ,Dunellen,Middlesex County,Online News Organization,Local,No,dunellen411.com
